SRZ187160_S0582.ffn	SRR5720233
SRZ187161_S0583.ffn	SRR5720232
SRZ187162_S0584.ffn	SRR5720231
SRZ187163_S0585.ffn	SRR5720238
SRZ187164_S0586.ffn	SRR5720237
SRZ187165_S0587.ffn	SRR5720236
SRZ187166_S0588.ffn	SRR5720235
SRZ187167_S0589.ffn	SRR5720230
SRZ187168_S0590.ffn	SRR5720229
SRZ187169_S0591.ffn	SRR5720286
SRZ187170_S0592.ffn	SRR5720285
SRZ187171_S0593.ffn	SRR5720255
SRZ187172_S0594.ffn	SRR5720256
SRZ187173_S0595.ffn	SRR5720249
SRZ187174_S0596.ffn	SRR5720250
SRZ187175_S0597.ffn	SRR5720251
SRZ187176_S0598.ffn	SRR5720252
SRZ187177_S0599.ffn	SRR5720344
SRZ187178_S0600.ffn	SRR5720307
SRZ187179_S0601.ffn	SRR5720280
SRZ187180_S0602.ffn	SRR5720279
SRZ187181_S0603.ffn	SRR5720278
SRZ187182_S0604.ffn	SRR5720277
SRZ187183_S0605.ffn	SRR5720284
SRZ187184_S0606.ffn	SRR5720283
SRZ187185_S0607.ffn	SRR5720282
SRZ187186_S0608.ffn	SRR5720281
SRZ187187_S0609.ffn	SRR5720276
SRZ187188_S0610.ffn	SRR5720275
SRZ187189_S0611.ffn	SRR5720261
SRZ187190_S0612.ffn	SRR5720262
SRZ187191_S0613.ffn	SRR5720263
SRZ187192_S0614.ffn	SRR5720264
SRZ187193_S0615.ffn	SRR5720257
SRZ187194_S0616.ffn	SRR5720258
SRZ187195_S0617.ffn	SRR5720259
SRZ187196_S0618.ffn	SRR5720260
SRZ187197_S0619.ffn	SRR5720253
SRZ187198_S0620.ffn	SRR5720254
SRZ187199_S0621.ffn	SRR5720321
SRZ187200_S0622.ffn	SRR5720320
SRZ187201_S0623.ffn	SRR5720323
SRZ187202_S0624.ffn	SRR5720322
SRZ187203_S0625.ffn	SRR5720319
SRZ187204_S0626.ffn	SRR5720318
SRZ187076_S0627.ffn	SRR6507277
SRZ187075_S0628.ffn	SRR6507278
SRZ187077_S0629.ffn	SRR6507279
SRZ187078_S0630.ffn	SRR6507280
