Run,Sample
ERR599225,ERS489993
ERR599212,ERS489994
ERR599226,ERS490021
ERR599210,ERS490044
ERR599218,ERS490045
ERR599268,ERS490071
ERR599205,ERS490115
ERR599208,ERS490136
ERR599318,ERS490172
ERR599327,ERS490172
ERR599272,ERS490172
ERR599271,ERS490172
ERR599334,ERS490172
ERR599273,ERS490172
ERR599235,ERS490172
ERR599231,ERS490174
ERR599302,ERS490201
ERR599257,ERS490281
ERR599229,ERS490314
ERR599220,ERS490386
ERR599207,ERS490387
ERR599213,ERS490520
ERR599211,ERS490521
ERR599253,ERS490552
ERR599275,ERS490606
ERR599230,ERS490646
ERR599216,ERS490647
ERR599311,ERS490670
ERR599322,ERS490701
ERR599278,ERS490726
ERR599219,ERS490944
ERR599209,ERS490945
ERR599221,ERS490947
ERR599228,ERS491059
ERR599325,ERS491103
ERR599227,ERS491121
ERR599217,ERS491122
ERR588857,ERS492821
ERR599256,ERS490463
ERR599303,ERS490594
ERR599206,ERS491086
ERR599258,ERS490362
ERR599292,ERS490499
ERR599214,ERS491070
ERR599204,ERS490467
ERR599234,ERS490905
ERR599222,ERS489556
ERR599333,ERS490618
ERR599312,ERS490063
ERR599223,ERS490261
ERR599299,ERS489974
ERR599283,ERS491028
ERR599265,ERS490708
ERR599291,ERS491021
ERR599287,ERS490473
ERR599259,ERS490294
ERR599269,ERS490216
ERR599243,ERS490253
ERR599306,ERS490911
ERR599244,ERS489984
ERR599336,ERS490564
ERR599224,ERS491032
ERR599232,ERS490915
ERR318598,ERS329497
ERR318591,ERS329499
ERR318592,ERS329499
ERR318612,ERS329499
ERR318600,ERS329500
ERR318614,ERS329501
ERR318608,ERS329501
ERR318609,ERS329501
ERR318610,ERS329501
ERR318599,ERS329502
ERR318589,ERS329503
ERR318602,ERS329503
ERR318613,ERS329504
ERR318616,ERS329505
ERR318585,ERS329505
ERR318594,ERS329507
ERR318583,ERS329507
ERR318603,ERS329509
ERR318605,ERS329509
ERR318607,ERS329510
ERR318604,ERS329510
ERR318593,ERS329511
ERR315827,ERS327852
ERR315675,ERS327852
ERR315680,ERS327852
ERR315673,ERS327852
ERR315685,ERS327852
ERR315681,ERS327852
ERR315682,ERS327852
ERR315684,ERS327852
ERR315693,ERS327852
ERR315695,ERS327853
ERR315799,ERS327853
ERR315804,ERS327853
ERR315806,ERS327853
ERR315816,ERS327853
ERR315818,ERS327853
ERR315692,ERS327854
ERR315809,ERS327854
ERR315683,ERS327854
ERR315679,ERS327854
ERR315687,ERS327855
ERR315808,ERS327855
ERR315810,ERS327856
ERR315807,ERS327856
ERR315694,ERS327856
ERR315689,ERS327856
ERR315690,ERS327856
ERR315813,ERS327856
ERR315819,ERS327856
ERR315826,ERS327856
ERR315820,ERS327857
ERR315822,ERS327857
ERR315814,ERS327857
ERR315815,ERS327857
ERR315812,ERS327857
ERR315817,ERS327857
ERR315825,ERS327857
ERR315824,ERS327857
ERR315686,ERS327857
ERR315676,ERS327857
ERR315798,ERS327857
ERR315805,ERS327857
ERR315677,ERS327857
ERR315821,ERS327857
ERR315801,ERS327857
ERR315800,ERS327857
ERR315802,ERS327857
ERR315678,ERS327858
ERR315691,ERS327858
ERR315823,ERS327858
ERR315688,ERS327859
ERR315674,ERS327859
ERR315803,ERS327859
ERR315811,ERS327859
